City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Khovd,48.01,91.64,-0.08,80,0,1.1,MN,1607284015
Yellowknife,62.46,-114.35,21.2,92,75,11.41,CA,1607283791
Manchester,53.48,-2.24,41.0,100,90,1.12,GB,1607283798
Lampang,18.33,99.5,66.99,77,70,1.32,TH,1607284016
Hambantota,6.12,81.12,75.2,100,5,1.12,LK,1607284016
Caucaia,-3.74,-38.65,84.2,70,40,14.99,BR,1607284016
Avarua,-21.21,-159.78,82.4,78,82,13.87,CK,1607283726
Kodinsk,58.69,99.18,7.77,93,100,9.73,RU,1607284016
Evans,33.53,-82.13,62.01,41,1,8.05,US,1607284016
Pareora,-44.49,171.21,60.01,90,50,5.01,NZ,1607284016
Chicama,-7.84,-79.15,69.8,77,77,11.41,PE,1607283910
Bluff,-46.6,168.33,62.01,79,28,3.0,NZ,1607284016
Talca,-35.43,-71.67,89.6,24,0,4.7,CL,1607284016
São José da Coroa Grande,-8.9,-35.15,78.98,71,18,10.42,BR,1607284016
Hobart,-42.88,147.33,50.0,61,75,9.17,AU,1607283903
Methóni,36.82,21.7,53.6,81,30,5.82,GR,1607284016
Naryan-Mar,67.67,53.09,30.67,95,89,16.26,RU,1607284016
Mayskiy,47.69,40.1,17.6,72,0,24.61,RU,1607284016
Upernavik,72.79,-56.15,22.17,97,100,5.41,GL,1607284016
Yulara,-25.24,130.99,69.8,49,98,6.93,AU,1607284016
Buala,-8.14,159.59,81.48,80,65,5.39,SB,1607284016
Necochea,-38.55,-58.74,77.04,32,0,15.37,AR,1607284017
Khatanga,71.97,102.5,-4.81,91,100,7.54,RU,1607284017
Puerto Ayora,-0.74,-90.35,82.4,54,75,11.41,EC,1607284017
Moramanga,-18.93,48.2,68.27,95,100,1.59,MG,1607284017
Nuuk,64.18,-51.72,28.4,92,98,1.12,GL,1607284017
Gamba,-2.65,10.0,77.59,89,100,7.92,GA,1607284017
Chui,-33.7,-53.46,65.97,57,18,10.2,UY,1607284017
Shar,49.59,81.05,2.08,84,0,3.74,KZ,1607284017
Mlowo,-9.0,32.98,65.46,68,34,2.68,TZ,1607284017
Carutapera,-1.2,-46.02,82.63,70,100,8.46,BR,1607283957
Chul'man,56.85,124.91,1.72,89,100,7.14,RU,1607284017
Aswān,24.09,32.91,64.06,28,0,5.21,EG,1607284017
Hithadhoo,-0.6,73.08,82.18,80,96,18.9,MV,1607284017
Kapaa,22.08,-159.32,75.2,73,1,4.7,US,1607284017
East London,-33.02,27.91,69.75,91,100,19.13,ZA,1607284018
Adré,13.47,22.2,75.45,19,1,10.78,TD,1607284018
Thompson,55.74,-97.86,17.6,92,90,4.7,CA,1607284018
kimparana,12.83,-4.92,81.0,19,51,7.16,ML,1607284018
Huilong,31.81,121.66,54.0,87,100,6.93,CN,1607284018
New Norfolk,-42.78,147.06,48.0,79,94,1.01,AU,1607283784
Sitka,57.05,-135.33,46.4,75,90,20.8,US,1607283794
Saint Paul Harbor,57.79,-152.41,37.4,86,90,5.82,US,1607283842
Khuzdar,27.74,66.64,52.41,44,0,0.56,PK,1607284018
Manakara,-22.13,48.02,74.86,86,100,4.0,MG,1607284018
Dunedin,-45.87,170.5,63.0,65,13,1.99,NZ,1607283832
Sur,22.57,59.53,75.74,66,0,12.88,OM,1607284018
Pevek,69.7,170.31,1.06,93,98,0.45,RU,1607284018
Husavik,66.04,-17.34,12.2,92,0,3.36,IS,1607284018
Hilo,19.73,-155.09,78.8,65,20,4.7,US,1607284018
Lola,7.8,-8.53,73.94,73,7,2.59,GN,1607284018
Lebu,-37.62,-73.65,59.18,75,1,13.38,CL,1607284018
Cherskiy,68.75,161.3,-9.31,88,68,4.18,RU,1607284018
Coyhaique,-45.58,-72.07,78.8,31,40,8.05,CL,1607284018
Arraial do Cabo,-22.97,-42.03,78.8,88,90,13.87,BR,1607283792
Katsuura,35.13,140.3,48.2,81,20,5.82,JP,1607284019
Cabo San Lucas,22.89,-109.91,81.0,53,5,12.75,MX,1607283917
Saskylakh,71.92,114.08,-9.72,89,100,8.1,RU,1607283791
Tasiilaq,65.61,-37.64,24.8,92,100,6.04,GL,1607284019
Patrocínio,-18.94,-46.99,79.0,63,100,7.0,BR,1607284019
Grimshaw,56.18,-117.6,37.4,74,75,11.41,CA,1607284019
Mogadishu,2.04,45.34,79.74,76,0,13.09,SO,1607283944
Portobelo,9.55,-79.65,82.99,99,69,10.16,PA,1607284019
Chumikan,54.72,135.31,0.41,85,99,20.78,RU,1607284019
Esna,25.29,32.55,60.8,38,0,1.1,EG,1607284019
Iqaluit,63.75,-68.51,12.2,78,90,10.29,CA,1607284019
Esperance,-33.87,121.9,59.0,62,90,10.29,AU,1607284019
Beringovskiy,63.05,179.32,18.86,94,88,3.98,RU,1607284019
Port Blair,11.67,92.75,79.12,74,31,9.55,IN,1607283921
Rosetta,31.4,30.42,62.6,63,0,6.93,EG,1607284020
Harrison,30.41,-89.04,59.0,54,1,8.81,US,1607284020
Yaan,7.38,8.57,85.55,35,98,3.2,NG,1607284020
Souillac,-20.52,57.52,77.0,83,40,8.05,MU,1607284020
Noyabrsk,63.2,75.45,20.07,97,100,16.17,RU,1607284020
Acapulco de Juárez,16.86,-99.89,87.8,62,5,7.81,MX,1607283842
Al Bardīyah,31.76,25.09,65.34,47,95,15.73,LY,1607284020
Mount Gambier,-37.83,140.77,48.2,87,75,10.29,AU,1607284020
Salalah,17.02,54.09,75.2,64,0,2.24,OM,1607284020
Fortuna,40.6,-124.16,55.0,98,53,3.0,US,1607284020
Ürümqi,43.8,87.6,8.6,84,90,2.24,CN,1607284020
Okha,53.57,142.95,4.8,90,24,12.03,RU,1607284020
Loandjili,-4.76,11.86,75.2,94,20,1.12,CG,1607284020
Constitución,-35.33,-72.42,64.99,57,9,10.74,CL,1607284020
Isangel,-19.55,169.27,79.66,80,100,10.6,VU,1607284021
High Level,58.52,-117.14,32.0,92,20,2.24,CA,1607283726
Bambous Virieux,-20.34,57.76,78.01,83,40,8.05,MU,1607284021
Waingapu,-9.66,120.26,78.93,80,99,4.34,ID,1607284021
Anshun,26.25,105.93,40.01,84,100,8.61,CN,1607284021
Sola,-13.88,167.55,79.68,82,64,5.17,VU,1607284021
Honiara,-9.43,159.95,73.4,100,20,3.36,SB,1607284021
Aksarka,66.56,67.8,24.67,95,65,18.43,RU,1607284021
Byron Bay,-28.65,153.62,73.4,88,90,9.17,AU,1607284021
São Filipe,14.9,-24.5,75.36,75,15,10.27,CV,1607284021
Grand Gaube,-20.01,57.66,78.01,78,41,5.99,MU,1607284022
San Cristobal,7.77,-72.22,87.8,58,40,10.29,VE,1607284022
Strezhevoy,60.73,77.59,12.2,85,0,15.66,RU,1607284022
Birjand,32.87,59.22,39.2,100,90,16.11,IR,1607284022
San Carlos,9.66,-68.58,84.52,67,36,3.02,VE,1607284022
Los Llanos de Aridane,28.66,-17.92,64.4,77,75,16.11,ES,1607284022
Lumberton,34.62,-79.01,55.4,43,1,5.82,US,1607284022
Santa Maria,-29.68,-53.81,66.2,82,75,12.75,BR,1607283966
Tarko-Sale,64.92,77.78,19.99,89,99,4.0,RU,1607284022
Barrow,71.29,-156.79,12.2,78,90,11.41,US,1607284022
Qaqortoq,60.72,-46.03,28.4,74,91,5.12,GL,1607284022
Bath,51.38,-2.36,42.01,96,100,2.06,GB,1607283868
Andradina,-20.9,-51.38,86.74,49,90,2.15,BR,1607284022
Provideniya,64.38,-173.3,19.4,73,0,8.95,RU,1607284022
Kahului,20.89,-156.47,80.6,57,1,3.36,US,1607284022
Barra Patuca,15.8,-84.28,82.44,70,2,7.18,HN,1607284022
Pisco,-13.7,-76.22,73.4,69,0,14.99,PE,1607284022
Airai,-8.93,125.41,62.28,100,100,0.76,TL,1607284023
Tocopilla,-22.09,-70.2,70.95,48,53,8.12,CL,1607284023
Buraidah,26.33,43.98,55.4,87,0,6.93,SA,1607284023
Linhai,28.85,121.12,55.99,62,73,2.13,CN,1607284023
Ponta do Sol,32.67,-17.1,60.8,77,40,6.93,PT,1607284023
Dumaguete,9.31,123.31,77.81,83,100,3.04,PH,1607284023
Lexington Park,38.27,-76.45,46.99,45,1,11.41,US,1607284023
Maragogi,-9.01,-35.22,78.67,72,8,10.51,BR,1607284023
Ballina,-28.87,153.57,73.4,88,90,9.17,AU,1607284023
Vaitape,-16.52,-151.75,81.34,71,97,7.96,PF,1607284023
Ponta Delgada,37.73,-25.67,55.4,76,20,5.82,PT,1607284023
Taoudenni,22.68,-3.98,64.24,31,0,8.95,ML,1607283958
Alta,69.97,23.27,19.4,79,0,10.29,NO,1607284024
Toužim,50.06,12.99,45.0,93,75,8.05,CZ,1607284024
Dali,25.7,100.18,42.08,79,2,3.04,CN,1607284024
Mazamari,-11.33,-74.53,78.42,78,100,2.1,PE,1607284024
Langham,52.37,-106.97,30.99,73,20,17.22,CA,1607284024
Sal Rei,16.18,-22.92,75.2,64,75,14.99,CV,1607284024
Coquimbo,-29.95,-71.34,64.4,63,20,13.87,CL,1607283897
Bandarbeyla,9.49,50.81,75.63,77,0,11.61,SO,1607284024
Vila,42.03,-8.16,46.0,95,100,7.0,PT,1607284024
Chas,23.63,86.17,65.61,42,0,3.02,IN,1607283857
Lagoa,39.05,-27.98,60.51,73,0,12.53,PT,1607284024
Port Macquarie,-31.43,152.92,72.0,80,100,4.05,AU,1607283795
San Felipe,10.34,-68.74,78.71,86,71,4.27,VE,1607284024
Vila Franca do Campo,37.72,-25.43,55.4,71,20,4.7,PT,1607283974
Benguela,-12.58,13.41,75.7,80,91,6.15,AO,1607284024
Arman',59.7,150.17,10.44,93,100,8.25,RU,1607284024
Prince Rupert,54.32,-130.32,46.4,87,90,23.04,CA,1607284024
Diego de Almagro,-26.37,-70.05,83.26,15,0,14.65,CL,1607284024
Port Alfred,-33.59,26.89,68.99,87,100,23.62,ZA,1607284025
San Vicente,-26.62,-54.13,74.1,67,86,5.28,AR,1607284025
Nikolskoye,59.7,30.79,33.01,86,0,8.95,RU,1607283794
Makat,47.65,53.35,10.92,87,0,9.19,KZ,1607284025
Batemans Bay,-35.72,150.18,57.99,61,0,5.99,AU,1607284025
Novikovo,51.15,37.89,18.61,90,0,10.33,RU,1607284025
Gorin,51.2,136.67,7.79,91,0,3.2,RU,1607284025
Laguna,38.42,-121.42,59.0,50,1,5.82,US,1607284025
Batagay-Alyta,67.8,130.41,-33.86,79,0,1.5,RU,1607284025
Mandalgovi,45.76,106.27,-4.38,85,48,11.48,MN,1607284025
Havre-St-Pierre,50.23,-63.6,30.2,92,90,26.4,CA,1607284025
Ixtapa,20.7,-105.2,77.0,69,90,6.93,MX,1607283979
Ndélé,8.41,20.65,76.39,25,0,2.35,CF,1607284025
Caravelas,-17.71,-39.25,79.63,70,74,10.71,BR,1607284025
Cimahi,-6.87,107.54,68.85,92,100,3.56,ID,1607284025
Merrill,45.18,-89.68,32.0,74,90,5.82,US,1607284025
Hasaki,35.73,140.83,37.4,100,20,2.24,JP,1607283879
Yarega,63.44,53.58,26.08,98,100,9.46,RU,1607284025
Port Lincoln,-34.73,135.87,57.54,67,73,19.46,AU,1607284026
Uchiza,-8.46,-76.46,84.18,66,39,0.72,PE,1607284026
Tiksi,71.69,128.87,-12.01,90,100,3.58,RU,1607284026
Chokurdakh,70.63,147.92,-27.67,85,9,1.36,RU,1607284026
Taksimo,56.34,114.88,-3.12,83,87,1.97,RU,1607283741
Bulgan,48.81,103.53,1.56,81,0,3.67,MN,1607284026
Flin Flon,54.77,-101.86,23.0,92,20,4.7,CA,1607284026
Puerto Ayacucho,5.66,-67.62,75.99,92,100,4.03,VE,1607284026
Guerrero Negro,27.98,-114.06,75.45,18,28,5.3,MX,1607283991
Borogontsy,62.67,131.17,-12.41,89,100,8.23,RU,1607284026
Kupang,-10.17,123.58,78.71,84,100,3.04,ID,1607284026
‘Āhuimanu,21.44,-157.84,79.0,69,20,2.82,US,1607284026
Svetlaya,46.54,138.33,18.54,87,3,7.63,RU,1607284026
Chaoyang,41.57,120.46,13.1,81,0,5.44,CN,1607284026
Puerto Carreño,6.19,-67.49,81.61,77,97,9.69,CO,1607284026
Dubovskoye,47.41,42.76,18.59,86,0,16.78,RU,1607284026
Bakewar,26.67,79.18,67.03,45,0,5.61,IN,1607284026
Saint-Augustin,51.23,-58.65,34.48,90,100,31.34,CA,1607284027
Korla,41.76,86.15,25.2,85,100,2.77,CN,1607284027
Elko,41.0,-115.5,34.0,38,40,4.43,US,1607283904
Bethel,41.37,-73.41,39.99,44,1,11.41,US,1607283784
Saldanha,-33.01,17.94,59.0,82,0,3.36,ZA,1607284027
Jinan,36.67,117.0,39.99,69,100,1.01,CN,1607284027
Gort,53.07,-8.82,37.4,93,90,10.29,IE,1607284027
Port Hedland,-20.32,118.57,82.4,54,8,6.93,AU,1607284027
Mabaruma,8.2,-59.78,78.62,93,87,5.17,GY,1607284027
Himatnagar,23.6,72.95,64.4,82,0,5.01,IN,1607284027
Nyuksenitsa,60.41,44.24,21.81,93,7,8.68,RU,1607284027
Arrondissement du Havre,49.58,0.33,42.8,93,63,4.7,FR,1607284027
Henties Bay,-22.12,14.28,62.01,84,0,5.21,NA,1607283789
Doka,13.52,35.77,79.57,32,0,13.91,SD,1607284027
Hong Kong,22.29,114.16,66.0,74,5,5.46,HK,1607284027
Marsabit,2.33,37.99,70.66,70,17,7.63,KE,1607284027
Ribeira Grande,38.52,-28.7,59.0,77,40,5.82,PT,1607283791
Yalta,44.5,34.17,35.58,84,26,17.38,UA,1607284027
Paamiut,61.99,-49.67,31.73,95,99,10.04,GL,1607284027
Tuktoyaktuk,69.45,-133.04,3.2,77,75,19.46,CA,1607284028
Ancud,-41.87,-73.82,69.8,56,0,9.17,CL,1607284028
Mackay,-21.15,149.2,78.8,78,90,10.29,AU,1607284028
Nouadhibou,20.93,-17.03,68.0,72,100,18.34,MR,1607284028
Zaysan,47.47,84.87,5.76,92,49,1.1,KZ,1607284028
Swan Hill,-35.34,143.55,56.52,68,55,13.49,AU,1607284028
Ngunguru,-35.62,174.5,66.0,85,100,8.99,NZ,1607284028
Semibratovo,57.3,39.54,19.4,52,0,4.47,RU,1607284028
Hobyo,5.35,48.53,79.14,74,0,10.07,SO,1607284028
Mossamedes,-15.2,12.15,67.32,77,90,8.59,AO,1607284028
Caruray,10.31,119.01,79.34,83,100,5.03,PH,1607284028
Barra de Tecoanapa,16.52,-98.75,84.0,61,47,9.6,MX,1607284028
Yashkul',46.17,45.34,20.26,86,0,15.46,RU,1607284028
Nizhniy Kuranakh,58.84,125.49,3.94,91,100,11.97,RU,1607284028
Port Augusta,-32.5,137.77,59.0,72,90,11.41,AU,1607284028
Cidreira,-30.18,-50.21,65.46,89,100,14.14,BR,1607284028
Zharkent,44.16,80.0,22.3,91,80,2.51,KZ,1607284028
Aripuanã,-9.17,-60.63,88.74,56,98,0.96,BR,1607284028
Anadyr,64.75,177.48,24.8,73,75,6.71,RU,1607284028
Severo-Kuril'sk,50.68,156.12,27.32,90,100,16.42,RU,1607284029
Poya,-21.35,165.15,79.41,70,0,4.9,NC,1607284029
Muğla Province,37.23,28.36,51.8,87,0,3.36,TR,1607284029
Cockburn Town,21.46,-71.14,80.6,69,40,5.82,TC,1607284029
Santa Cruz del Sur,20.71,-78.0,82.08,68,30,7.38,CU,1607284029
Melfi,41.0,15.65,45.0,93,90,13.87,IT,1607284029
Pontianak,-0.03,109.33,77.11,93,100,5.41,ID,1607284029
Cosoleacaque,18.0,-94.62,77.0,73,90,23.04,MX,1607284029
Portland,45.52,-122.68,46.0,81,90,0.89,US,1607283933
Almaznyy,48.04,40.05,17.6,72,0,24.61,RU,1607284029
Atuona,-9.8,-139.03,78.62,74,2,20.51,PF,1607283790
Sirte,31.21,16.59,63.09,44,0,22.21,LY,1607283889
Bud,39.45,-86.18,35.01,71,90,3.36,US,1607284029
Samarai,-10.62,150.67,81.99,81,100,13.71,PG,1607283949
Quelimane,-17.88,36.89,80.6,83,20,8.05,MZ,1607284029
Florida,28.75,-82.5,69.01,48,75,5.86,US,1607283846
Dingle,11.0,122.67,75.38,91,100,4.79,PH,1607284029
Måløy,61.94,5.11,37.99,86,20,6.93,NO,1607284029
Touros,-5.2,-35.46,82.4,69,40,14.99,BR,1607284029
Merauke,-8.47,140.33,79.47,87,100,9.86,ID,1607284030
Leer,8.3,30.14,79.65,23,0,4.9,SS,1607284030
Tomatlán,19.93,-105.25,86.74,44,82,8.1,MX,1607284030
Benghazi,32.12,20.07,66.85,75,0,14.58,LY,1607284030
Calvinia,-31.47,19.78,60.78,45,9,3.13,ZA,1607284030
Diffa,13.32,12.61,77.9,20,1,5.91,NE,1607284030
Muros,42.78,-9.06,55.99,91,100,11.99,ES,1607284030
Thunder Bay,48.4,-89.32,30.99,80,90,9.17,CA,1607284030
Shimoda,34.67,138.95,42.01,94,0,10.16,JP,1607284030
Chernyshevskiy,63.01,112.47,-7.1,90,0,7.81,RU,1607284030
Illapel,-31.63,-71.17,81.3,29,0,9.33,CL,1607284030
Rabo de Peixe,37.8,-25.58,55.4,76,20,5.82,PT,1607284030
North Bend,43.41,-124.22,59.0,93,1,4.7,US,1607283757
Węgrów,52.4,22.02,37.99,82,100,21.85,PL,1607284030
Tual,-5.67,132.75,84.9,69,100,3.29,ID,1607283979
Pangnirtung,66.15,-65.71,15.8,72,75,8.05,CA,1607284030
Angoche,-16.23,39.91,79.39,79,94,4.56,MZ,1607284030
Noumea,-22.28,166.46,80.01,69,0,12.21,NC,1607283837
Kumul,42.8,93.45,19.67,82,0,4.43,CN,1607284030
Sioux Lookout,50.1,-91.92,28.4,92,90,6.93,CA,1607284031
Siverek,37.76,39.32,46.4,36,0,6.93,TR,1607284031
Itarema,-2.92,-39.92,81.86,73,100,16.64,BR,1607284031
Rivers,50.03,-100.24,39.2,64,40,5.82,CA,1607284031
Ayan,56.45,138.17,4.08,84,0,11.48,RU,1607284031
Pacifica,37.61,-122.49,57.0,76,1,12.75,US,1607283841
Rosarito,32.33,-117.03,69.8,9,5,12.75,MX,1607283857
Ma’anshan,31.7,118.5,46.4,100,90,4.47,CN,1607284031
Kashmor,28.43,69.58,68.02,31,0,11.21,PK,1607284031
Vohibinany,-17.35,49.03,72.07,89,55,0.81,MG,1607284031
Smithers,54.78,-127.17,42.8,70,75,6.93,CA,1607284031
Nangong,37.36,115.37,32.09,76,100,9.71,CN,1607284031
Nipawin,53.37,-104.0,24.8,79,1,6.93,CA,1607284031
Novoasbest,57.74,60.29,16.11,91,72,11.25,RU,1607284031
College,64.86,-147.8,0.0,70,90,5.82,US,1607284031
Praia,14.92,-23.51,75.2,64,20,16.11,CV,1607283978
Quatre Cocos,-20.21,57.76,78.01,83,40,8.05,MU,1607284031
Chipinge,-20.19,32.62,60.46,100,100,6.44,ZW,1607284031
Were Īlu,10.6,39.43,51.71,83,22,6.69,ET,1607284031
Atar,20.52,-13.05,66.51,36,63,11.32,MR,1607283962
Ugoofaaru,5.67,73.0,81.5,81,82,14.03,MV,1607284032
Dubrovka,53.69,33.51,20.61,93,0,10.69,RU,1607284032
Rudnogorsk,57.26,103.75,5.72,94,100,11.45,RU,1607284032
Bloomington,44.84,-93.3,36.0,80,90,8.05,US,1607284032
Bom Jesus,-9.07,-44.36,89.83,43,23,4.74,BR,1607283971
Kruisfontein,-34.0,24.73,66.0,93,100,7.0,ZA,1607284032
Wajir,1.75,40.06,86.14,48,2,8.68,KE,1607284032
Raudeberg,61.99,5.14,37.99,86,20,6.93,NO,1607284032
Liaozhong,41.51,122.72,17.6,52,0,6.71,CN,1607284032
Talcahuano,-36.72,-73.12,66.2,68,0,13.87,CL,1607284032
Meulaboh,4.14,96.13,76.37,87,100,4.74,ID,1607284032
Clyde River,70.47,-68.59,5.0,92,90,8.05,CA,1607284032
Saquarema,-22.92,-42.51,78.8,88,75,8.05,BR,1607284032
Vila Velha,-20.33,-40.29,82.4,74,20,16.11,BR,1607284033
Berbera,10.44,45.01,79.14,74,0,4.79,SO,1607284033
Vestmannaeyjar,63.44,-20.27,37.4,86,90,32.21,IS,1607284033
Kamaishi,39.27,141.88,44.62,77,54,7.11,JP,1607284033
Salina Cruz,16.17,-95.2,86.41,48,2,20.6,MX,1607283966
Bismarck,46.81,-100.78,53.6,45,1,6.08,US,1607284033
Leningradskiy,69.38,178.42,12.22,86,90,2.89,RU,1607284033
Fernie,49.5,-115.07,39.2,92,0,1.12,CA,1607284033
Okato,-39.2,173.88,60.01,95,100,7.0,NZ,1607284033
Oak Ridge,36.01,-84.27,54.0,57,1,6.38,US,1607284033
Codrington,-38.27,141.97,48.54,87,99,13.22,AU,1607284033
Carnarvon,-24.87,113.63,71.6,73,21,16.11,AU,1607284033
Gazojak,41.19,61.4,21.76,77,24,11.88,TM,1607284033
Cap-aux-Meules,47.38,-61.86,44.6,93,93,11.41,CA,1607283786
Moyale,3.52,39.06,70.5,70,0,2.8,KE,1607284033
Usatove,46.53,30.66,33.8,59,0,15.66,UA,1607284033
Muncar,-8.43,114.33,76.91,86,99,2.06,ID,1607284033
Camopi,3.17,-52.32,89.28,49,67,4.94,GF,1607284034
Piaçabuçu,-10.41,-36.43,79.66,71,0,13.35,BR,1607284034
Mt. Pleasant,32.79,-79.86,63.0,55,1,5.82,US,1607283783
Tessalit,20.2,1.01,69.58,33,72,6.85,ML,1607284034
Miracema do Tocantins,-9.56,-48.4,83.61,70,100,2.59,BR,1607284034
Severo-Yeniseyskiy,60.37,93.04,1.4,93,100,12.1,RU,1607284034
Mrakovo,52.72,56.62,8.24,90,66,3.27,RU,1607284034
Nova Russas,-4.71,-40.56,94.08,30,100,6.26,BR,1607283997
Petropavlovsk-Kamchatskiy,53.05,158.65,5.0,77,15,6.71,RU,1607284034
Sabang,5.89,95.32,80.31,80,100,11.03,ID,1607284034
Zheleznodorozhnyy,55.75,38.0,18.0,85,0,4.47,RU,1607284034
Kaffrine,14.11,-15.55,83.14,23,0,7.25,SN,1607284034
Tazovsky,67.47,78.7,15.6,97,100,10.67,RU,1607284034
Cayenne,4.93,-52.33,86.0,66,75,12.75,GF,1607283960
Morris,40.83,-74.53,39.99,51,40,16.11,US,1607284035
Gloversville,43.05,-74.34,30.99,68,90,18.34,US,1607283737
Pitimbu,-7.47,-34.81,82.4,74,75,13.87,BR,1607284035
Dibulla,11.27,-73.31,84.22,76,98,5.82,CO,1607284035
Markala,13.7,-6.07,79.07,19,100,5.57,ML,1607284035
Luxor,25.7,32.64,60.8,38,0,1.72,EG,1607284010
Wanning,18.8,110.4,67.55,87,69,10.02,CN,1607284035
Baruun-Urt,46.68,113.28,-3.93,84,0,11.5,MN,1607284035
Mgachi,51.05,142.27,9.91,87,94,2.93,RU,1607284035
Great Yarmouth,52.61,1.73,37.99,100,100,2.24,GB,1607283907
San Quintín,30.48,-115.95,69.58,25,50,10.31,MX,1607284035
Shangrao,28.45,117.97,47.57,89,1,0.87,CN,1607284035
Torbay,47.67,-52.73,45.0,100,90,6.93,CA,1607284035
Longyearbyen,78.22,15.64,23.0,79,90,24.16,SJ,1607284035
Homer,59.64,-151.55,28.4,79,90,17.22,US,1607284035
Saint George,37.1,-113.58,44.6,20,1,2.64,US,1607284035
Gweta,-20.18,25.23,72.93,68,41,12.97,BW,1607284035
Puksoozero,62.59,40.61,32.23,97,100,10.51,RU,1607284035
Sambava,-14.27,50.17,76.39,84,3,7.43,MG,1607284035
Tulsīpur,28.13,82.3,57.07,66,0,4.45,NP,1607284035
Rāvar,31.27,56.81,50.65,80,27,1.41,IR,1607284036
Sijunjung,-0.69,100.95,71.55,89,100,1.34,ID,1607284036
Newport,51.59,-3.0,42.01,94,100,2.68,GB,1607284036
Kungsbacka,57.49,12.08,46.99,93,90,10.29,SE,1607284036
